sample	Nonsynonymous	Synonymous
TCGA-EW-A1J5-01A-11D-A13L-09	314	113
TCGA-EW-A1J6-01A-11D-A188-09	29	12
TCGA-EW-A1OV-01A-11D-A142-09	91	26
TCGA-EW-A1OX-01A-11D-A142-09	23	12
TCGA-EW-A1P0-01A-11D-A142-09	16	5
TCGA-EW-A1P1-01A-31D-A14G-09	27	2
TCGA-EW-A1P3-01A-11D-A142-09	20	4
TCGA-EW-A1P4-01A-21D-A142-09	62	14
TCGA-EW-A1P5-01A-11D-A142-09	14	5
TCGA-EW-A1P6-01A-11D-A142-09	21	4
TCGA-EW-A1P7-01A-21D-A142-09	18	3
TCGA-EW-A1P8-01A-11D-A142-09	37	13
TCGA-EW-A1PA-01A-11D-A142-09	34	9
TCGA-EW-A1PE-01A-11D-A142-09	25	8
TCGA-EW-A1PG-01A-11D-A142-09	13	4
TCGA-EW-A1PH-01A-11D-A14K-09	38	10
